"member_id","term","coord1D","se1D","member_name","party"
"0E97245Y",20,-0.288071632385254,0,"정양석","미래통합당"
"8KB8281W",20,0.45212522149086,0,"제윤경","더불어민주당"
"5KV82250",20,-0.485972911119461,0,"조경태","국민의힘"
"D397960C",20,-0.379804015159607,0,"조훈현","미래한국당"
"ZJI5740K",20,0.315039277076721,0,"최운열","더불어민주당"
"EX94352K",20,0.324594706296921,0,"표창원","더불어민주당"
"1KD95875",20,-0.20193238556385,0,"함진규","미래통합당"
"KR14136C",20,0.335475265979767,0,"홍영표","새로운미래"
"0VU8517U",20,0.351005762815475,0,"황희","더불어민주당"
"MHK9919B",20,-0.864892482757568,0,"곽상도","무소속"
"YKW37422",20,0.15340693295002,0,"권은희","국민의힘"
"PP08673W",20,0.286640465259552,0,"김경수","더불어민주당"
"YVN3115U",20,0.312797755002975,0,"김경진","무소속"
"3NM5411H",20,0.555031657218933,0,"김광수","무소속"
"NNP30098",20,-0.619130432605743,0,"김기선","미래한국당"
"9EA39580",20,-0.390322983264923,0,"김명연","미래통합당"
"8Q88373R",20,0.388182550668716,0,"김병기","무소속"
"1Y73132H",20,-0.395613193511963,0,"김상훈","국민의힘"
"GXT11570",20,0.414757788181305,0,"김성수","더불어민주당"
"9D939735",20,-0.243150264024734,0,"김성원","국민의힘"
"BQS2021C",20,-0.150874063372612,0,"김성태","미래통합당"
"7KD2317D",20,-0.499900102615356,0,"김순례","미래한국당"
"06X3845L",20,-0.438576102256775,0,"김종석","미래한국당"
"6QU2958D",20,0.2367944419384,0,"김해영","더불어민주당"
"MPV9321A",20,0.514603972434998,0,"김현권","더불어민주당"
"GN240959",20,0.787119209766388,0,"노회찬","정의당"
"TGL10010",20,0.444521099328995,0,"문미옥","더불어민주당"
"JMD3241I",20,0.390473186969757,0,"박경미","더불어민주당"
"24E9427D",20,0.286780565977097,0,"박남춘","더불어민주당"
"MC32279F",20,0.31928426027298,0,"박선숙","민생당"
"QUO78839",20,0.449895948171616,0,"박재호","더불어민주당"
"4019850M",20,0.415254503488541,0,"박정","더불어민주당"
"6AU2417B",20,0.337581932544708,0,"박주민","더불어민주당"
"8BF5855P",20,0.201909080147743,0,"박지원","더불어민주당"
"S824682L",20,0.475416213274002,0,"박홍근","더불어민주당"
"HSS7466Y",20,0.363762319087982,0,"백혜련","더불어민주당"
"6N28669V",20,0.449528992176056,0,"서형수","더불어민주당"
"PAO22428",20,0.408288925886154,0,"송영길","더불어민주당"
"3249208I",20,0.372533917427063,0,"송옥주","더불어민주당"
"1PZ8289D",20,-0.28809455037117,0,"송희경","미래한국당"
"G1570880",20,0.454891175031662,0,"신동근","더불어민주당"
"HE838063",20,-0.414966613054276,0,"신보라","미래통합당"
"ZA54991S",20,0.267843008041382,0,"안민석","더불어민주당"
"A486635H",20,-0.523571372032166,0,"안상수","미래통합당"
"TIS61927",20,0.193001359701157,0,"양승조","더불어민주당"
"SSF6805Q",20,-0.310912281274796,0,"염동열","미래한국당"
"M6K7940A",20,0.00355062587186694,0,"오세정","바른미래당"
"21N57758",20,0.371917307376862,0,"오영훈","더불어민주당"
"5CO4531H",20,0.496210366487503,0,"유은혜","더불어민주당"
"3TP65086",20,0.746287941932678,0,"윤종오","진보당"
"8X15119P",20,-0.947024345397949,0,"윤한홍","국민의힘"
"M0A1658U",20,0.279826641082764,0,"윤호중","더불어민주당"
"DBA1057Z",20,0.39514034986496,0,"이용호","국민의힘"
"16D7652C",20,0.390030086040497,0,"이원욱","개혁신당"
"WDS6044S",20,-0.30486387014389,0,"이채익","국민의힘"
"TZP9391O",20,-0.441359788179398,0,"이철규","국민의힘"
"QTW6852F",20,-0.2418043166399,0,"이태규","국민의힘"
"EVH1507C",20,-0.480864197015762,0,"이헌승","국민의힘"
"MBS2896E",20,-0.611506462097168,0,"이현재","무소속"
"UM51067K",20,0.424979239702225,0,"인재근","더불어민주당"
"E6U4345C",20,0.414736658334732,0,"임종성","더불어민주당"
"0AI7568W",20,0.489002734422684,0,"장정숙","민생당"
"ARP89147",20,0.320119023323059,0,"정동영","더불어민주당"
"DCN7433W",20,0.245036542415619,0,"정세균","더불어민주당"
"0GF6251P",20,-0.425351470708847,0,"정유섭","미래통합당"
"FYI20317",20,0.474962055683136,0,"조승래","더불어민주당"
"IN328264",20,0.258548974990845,0,"조정식","더불어민주당"
"GDN7894V",20,-0.142279699444771,0,"채이배","민생당"
"O8E1566L",20,0.310840040445328,0,"최도자","민생당"
"16I8621J",20,-0.611671268939972,0,"최연혜","미래통합당"
"GW55008L",20,0.532946228981018,0,"홍의락","더불어민주당"
"C7Z8238W",20,-0.0988073870539665,0,"황영철","자유한국당"
"23D73143",20,-0.396584182977676,0,"경대수","미래통합당"
"GDG1847Z",20,-0.768336415290833,0,"권성동","국민의힘"
"CI15627C",20,0.492149889469147,0,"김두관","더불어민주당"
"SNJ6318D",20,-0.723020732402802,0,"김무성","미래통합당"
"ZL32287Z",20,0.00519087165594101,0,"김삼화","민생당"
"UGH6481E",20,0.525407135486603,0,"김상희","더불어민주당"
"ZYP7962W",20,-0.307081550359726,0,"김석기","국민의힘"
"PLR62452",20,-0.256640404462814,0,"김영우","미래통합당"
"E1J8836Y",20,-0.402404636144638,0,"김정재","국민의힘"
"Q9H5708M",20,0.253497123718262,0,"김진표","무소속"
"IYD4143Y",20,0.211315631866455,0,"문희상","무소속"
"O6D8329R",20,0.37083500623703,0,"민홍철","더불어민주당"
"OTE19384",20,-0.782062113285065,0,"박명재","미래통합당"
"7R156073",20,0.366939961910248,0,"박범계","더불어민주당"
"D0C85236",20,-0.5886270403862,0,"박완수","국민의힘"
"PEP6922S",20,0.49018993973732,0,"박용진","더불어민주당"
"OW53107J",20,0.488651216030121,0,"설훈","새로운미래"
"MTK2954E",20,-0.0103198997676373,0,"신용현","민생당"
"WYC63862",20,0.336277633905411,0,"신창현","더불어민주당"
"VXQ28579",20,0.321593105792999,0,"심재권","더불어민주당"
"QKY38290",20,-0.452677488327026,0,"여상규","미래한국당"
"TZD17894",20,-0.243336364626884,0,"원유철","미래한국당"
"I5V5327I",20,-0.374984443187714,0,"유민봉","미래통합당"
"SEK1881Q",20,-0.732945442199707,0,"유재중","미래통합당"
"JMY9959W",20,0.306804090738297,0,"윤관석","무소속"
"OSV9142K",20,-0.422375023365021,0,"이만희","국민의힘"
"6YT83269",20,-0.206550076603889,0,"이명수","국민의힘"
"ZYH1940A",20,0.405659735202789,0,"이상민","국민의힘"
"8WV8289I",20,-0.322620511054993,0,"이완영","자유한국당"
"ABT2266H",20,0.454518586397171,0,"이용득","더불어민주당"
"0582116P",20,-0.409058004617691,0,"이우현","자유한국당"
"DVD2735W",20,-0.716233432292938,0,"이은권","미래통합당"
"WDR7061Y",20,0.435602188110352,0,"이종걸","더불어민주당"
"HSW1214Q",20,-0.416757553815842,0,"이종배","국민의힘"
"BWD92364",20,0.292385339736938,0,"이찬열","미래통합당"
"V2R7430Z",20,0.421602487564087,0,"이춘석","무소속"
"WNN9272X",20,-0.443805396556854,0,"장석춘","미래한국당"
"CZB4125D",20,-0.180425062775612,0,"장제원","국민의힘"
"BM63269Y",20,0.282842725515366,0,"전해철","더불어민주당"
"V429892C",20,0.259283304214478,0,"정성호","더불어민주당"
"ZGA4092Y",20,-0.336895555257797,0,"정용기","미래통합당"
"IWK63872",20,0.160174444317818,0,"조배숙","국민의힘"
"CDL93608",20,0.308338403701782,0,"조응천","개혁신당"
"5HG31863",20,-0.170086100697517,0,"지상욱","미래통합당"
"IDV9108J",20,0.323946982622147,0,"진영","더불어민주당"
"LPB30152",20,0.250389337539673,0,"최인호","더불어민주당"
"GD131760",20,-0.250625461339951,0,"홍문표","국민의힘"
"R365233W",20,-0.23783914744854,0,"홍철호","미래통합당"
"JOY4394O",20,0.203841254115105,0,"황주홍","민생당"
"8I61593E",20,-0.626832723617554,0,"강석호","미래통합당"
"QZR19240",20,0.293844729661942,0,"금태섭","더불어민주당"
"MGE7194M",20,-0.634917616844177,0,"김광림","미래통합당"
"UIZ3103R",20,0.377764821052551,0,"김부겸","더불어민주당"
"2WQ6656P",20,-0.172562375664711,0,"김세연","미래통합당"
"TWL5801D",20,0.458210527896881,0,"김영춘","더불어민주당"
"AMF4093D",20,-0.801577687263489,0,"김용태","미래통합당"
"M3Z17237",20,-0.248945653438568,0,"김재경","미래통합당"
"M2Q9024I",20,0.381274729967117,0,"김종민","무소속"
"9XB6464U",20,0.26756027340889,0,"김현미","더불어민주당"
"0827740Q",20,0.385895431041718,0,"노웅래","더불어민주당"
"J2O8643H",20,0.495206505060196,0,"도종환","더불어민주당"
"39P2522W",20,0.44166174530983,0,"민병두","무소속"
"K3W33496",20,0.375555545091629,0,"박광온","더불어민주당"
